Estación:       EMPALME,  SON
Operada por:    SMN ESIME
Longitud:       110°47'50"  Longitud: 27°57'26"  Altitud: 8

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL
29/01/2018 21:00         229         281        4.00        6.50        32.1          17      1013.3         0.0       659.0
29/01/2018 21:10         225         261        3.90        6.60        32.4          15      1013.2         0.0       647.0
29/01/2018 21:20         227         300        3.40        6.30        32.4          15      1013.2         0.0       629.0
29/01/2018 21:30         230         276        3.50        6.40        32.6          15      1013.1         0.0       609.0
29/01/2018 21:40         225         274        3.50        6.60        32.3          14      1013.0         0.0       585.0
29/01/2018 21:50         227         263        4.80        7.60        31.6          15      1012.9         0.0       565.0
29/01/2018 22:00         225         263        4.50        7.00        31.6          14      1012.8         0.0       541.0
29/01/2018 22:10         232         278        4.10        6.90        31.8          14      1012.7         0.0       520.0
29/01/2018 22:20         229         262        4.10        6.50        31.7          14      1012.6         0.0       493.0
29/01/2018 22:30         228         287        3.50        7.30        31.9          14      1012.5         0.0       466.0
29/01/2018 22:40         230         305        4.20        7.60        31.3          14      1012.4         0.0       437.0
29/01/2018 22:50         229         305        3.70        6.60        31.3          14      1012.3         0.0       404.0
29/01/2018 23:00         236         286        3.90        7.00        30.9          14      1012.3         0.0       372.0
29/01/2018 23:10         235         281        4.20        7.00        30.8          13      1012.2         0.0       253.0
29/01/2018 23:20         241         291        4.20        7.00        30.6          13      1012.3         0.0       302.0
29/01/2018 23:30         245         288        3.90        7.30        30.9          13      1012.3         0.0       267.0
29/01/2018 23:40         252          52        2.90        6.70        31.1          14      1012.2         0.0       233.0
29/01/2018 23:50         259         338        2.10        4.70        31.0          15      1012.2         0.0       199.0
30/01/2018 00:00         254         306        2.20        5.40        30.7          15      1012.2         0.0       165.0
30/01/2018 00:10         258          24        2.00        4.50        30.4          15      1012.1         0.0       130.0
30/01/2018 00:20         265          59        1.70        3.60        29.8          17      1012.1         0.0       100.0
30/01/2018 00:30         263         350        1.90        3.70        29.1          18      1012.1         0.0        70.0
30/01/2018 00:40         250         298        2.70        5.30        28.2          18      1012.1         0.0        42.0
30/01/2018 00:50         256         312        2.10        4.50        27.3          19      1012.2         0.0        14.0
30/01/2018 01:00         254         314        1.40        3.00        26.3          21      1012.2         0.0        -1.0
30/01/2018 01:10         251         294        1.20        2.40        25.2          23      1012.3         0.0        -1.0
30/01/2018 01:20         256         317        1.50        3.00        24.7          25      1012.3         0.0        -1.0
30/01/2018 01:30         264         330        1.90        3.50        24.3          27      1012.4         0.0        -1.0
30/01/2018 01:40         264         326        2.00        3.30        24.0          27      1012.4         0.0        -1.0
30/01/2018 01:50         257         297        1.90        3.50        24.1          26      1012.5         0.0        -1.0
30/01/2018 02:00         248         284        1.60        2.40        23.8          26      1012.7         0.0        -1.0
30/01/2018 02:10         267         316        1.50        2.60        23.8          24      1012.8         0.0        -1.0
30/01/2018 02:20         291         324        1.70        3.40        23.3          24      1012.9         0.0        -1.0
30/01/2018 02:30         288         348        1.80        3.30        23.4          24      1013.0         0.0        -1.0
30/01/2018 02:40         285         332        1.80        3.60        22.9          25      1013.0         0.0        -1.0
30/01/2018 02:50         284         342        2.00        4.00        22.7          27      1013.1         0.0        -1.0
30/01/2018 03:00         281          81        2.50        5.20        23.5          26      1013.1         0.0        -1.0
30/01/2018 03:10         279         333        3.10        5.80        24.3          24      1013.2         0.0        -1.0
30/01/2018 03:20         282         327        3.20        6.50        24.7          22      1013.2         0.0        -1.0
30/01/2018 03:30         279         327        3.30        6.10        24.2          24      1013.3         0.0        -1.0
30/01/2018 03:40         279         329        3.20        6.20        23.9          24      1013.3         0.0        -1.0
30/01/2018 03:50         285           1        3.10        6.10        23.7          24      1013.4         0.0        -1.0
