Estación:       NOGALES,  SON
Operada por:    SMN EMAS
Longitud:       110°54'50"  Latitud: 31°17'52"  Altitud: 1269

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
24/01/2018 17:00       113       129     16.00     31.90      14.0        18     879.2       0.0     620.2
24/01/2018 18:00       112       123     16.86     31.90      15.6        17     878.7       0.0     729.2
24/01/2018 19:00       125       141     16.56     33.10      17.1        16     877.7       0.0     768.3
24/01/2018 20:00       138       138     14.59     30.30      18.0        16     876.7       0.0     738.0
24/01/2018 21:00       125       176     14.35     36.50      18.9        16     876.0       0.0     630.2
24/01/2018 22:00       114       127     17.03     32.20      19.1        16     875.6       0.0     460.7
24/01/2018 23:00       105       153     15.35     29.70      19.2        16     875.4       0.0     253.2
25/01/2018 00:00       111       128     17.21     32.80      17.6        17     875.7       0.0      65.0
25/01/2018 01:00       115       130     20.51     37.40      15.9        18     875.8       0.0       0.2
25/01/2018 02:00       107       130     11.23     23.20      14.5        20     876.0       0.0       0.0
25/01/2018 03:00       108       120     17.82     38.80      13.3        21     876.0       0.0       0.0
25/01/2018 04:00       105       105     21.43     40.50      13.1        21     876.0       0.0       0.0
25/01/2018 05:00       111       113     15.16     40.10      12.3        22     876.3       0.0       0.0
25/01/2018 06:00       112       125     15.77     31.60      11.5        23     876.4       0.0       0.0
25/01/2018 07:00        93       124     14.58     24.70      11.1        24     876.0       0.0       0.0
25/01/2018 08:00       134       106      4.88     19.10      10.1        25     875.8       0.0       0.0
25/01/2018 09:00       106       252      1.38      8.40       6.8        30     875.5       0.0       0.0
25/01/2018 10:00       137       108      2.59      6.90       5.4        32     875.2       0.0       0.0
25/01/2018 11:00       154       147      1.79      8.30       4.3        34     874.7       0.0       0.0
25/01/2018 12:00       239       271      3.62      9.20       3.7        36     875.0       0.0       0.0
25/01/2018 13:00        76       115      2.57      7.20       3.4        36     875.2       0.0       0.0
25/01/2018 14:00       261       333      4.28      8.00       3.2        37     875.4       0.0      19.3
25/01/2018 15:00       239       254      3.98      7.10       6.6        32     875.8       0.0     211.5
25/01/2018 16:00       204       244      3.14      7.00      11.2        26     876.0       0.0     439.8
25/01/2018 17:00        81       117      5.08     12.60      15.0        22     876.1       0.0     616.3
25/01/2018 18:00       213       234      4.30     20.30      18.3        19     875.7       0.0     730.3
25/01/2018 19:00       223       229     13.14     28.00      19.8        15     874.8       0.0     763.2
25/01/2018 20:00       232       220     14.27     30.20      20.4        13     874.1       0.0     738.7
25/01/2018 21:00       236       254     15.98     36.50      20.8        14     873.7       0.0     643.5
25/01/2018 22:00       232       226     15.94     35.20      20.5        14     873.3       0.0     443.8
25/01/2018 23:00       237       255     17.89     33.00      19.9        14     873.3       0.0     250.7
26/01/2018 00:00       230       251     15.09     29.70      18.3        16     873.4       0.0      66.3
26/01/2018 01:00       235       248      7.83     20.20      16.1        19     873.8       0.0       0.0
26/01/2018 02:00       240       245      6.75     12.60      14.1        21     874.1       0.0       0.0
26/01/2018 03:00       235       250      4.93     12.30      12.4        23     874.4       0.0       0.0
26/01/2018 04:00       102       161      2.35     10.90      11.3        25     874.7       0.0       0.0
26/01/2018 05:00       153       172      3.91      9.60      11.5        27     875.3       0.0       0.0
26/01/2018 06:00       190       206      6.00     13.50      11.6        29     875.5       0.0       0.0
26/01/2018 07:00        44       232      1.92     10.10      10.1        31     875.5       0.0       0.0
26/01/2018 08:00       200        86      1.05      4.70       9.3        31     875.2       0.0       0.0
26/01/2018 09:00       294       359      4.16      9.20       9.0        31     875.0       0.0       0.0
26/01/2018 10:00       104       356      1.24      5.40       7.6        33     874.8       0.0       0.0
